"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/02/2026","55,36","55,23","55,36","55,23","0,36K","0,20%"
"26/02/2026","55,25","55,16","55,25","55,16","0,72K","0,09%"
"25/02/2026","55,20","55,16","55,21","55,16","0,95K","0,07%"
"24/02/2026","55,16","55,15","55,19","55,15","0,10K","0,01%"
"23/02/2026","55,16","55,02","55,16","55,02","4,55K","0,17%"
"20/02/2026","55,06","54,98","55,06","54,98","0,46K","0,06%"
"19/02/2026","55,03","54,98","55,03","54,98","0,28K","0,01%"
"18/02/2026","55,02","55,04","55,04","55,04","","-0,02%"
"17/02/2026","55,04","54,86","55,04","54,86","1,31K","0,14%"
"16/02/2026","54,96","55,05","55,05","54,96","0,70K","0,02%"
"13/02/2026","54,95","54,95","54,95","54,95","","0,07%"
"12/02/2026","54,91","54,85","54,85","54,85","","0,07%"
"11/02/2026","54,87","54,84","54,87","54,84","0,89K","0,07%"
"10/02/2026","54,83","54,73","54,83","54,73","0,47K","0,24%"
"09/02/2026","54,71","54,67","54,71","54,67","1,30K","0,05%"
"06/02/2026","54,68","54,72","54,72","54,72","","-0,03%"
"05/02/2026","54,69","54,60","54,69","54,60","0,07K","0,10%"
"04/02/2026","54,64","54,59","54,59","54,59","","0,09%"
"03/02/2026","54,59","54,57","54,59","54,57","0,09K","-0,05%"
"02/02/2026","54,62","54,65","54,65","54,65","","-1,25%"
"30/01/2026","55,31","55,24","55,24","55,24","","-0,09%"
"29/01/2026","55,36","55,28","55,28","55,28","","0,13%"
"28/01/2026","55,28","55,16","55,16","55,16","0,03K","0,03%"
"27/01/2026","55,27","55,21","55,27","55,21","1,45K","0,08%"
"26/01/2026","55,22","55,17","55,22","55,17","6,22K","0,20%"
"23/01/2026","55,11","55,10","55,11","55,10","1,00K","-0,03%"
"22/01/2026","55,13","55,10","55,13","55,10","1,32K","0,09%"
"21/01/2026","55,08","55,18","55,18","55,06","0,02K","-0,08%"
"20/01/2026","55,12","55,06","55,06","55,06","","-0,11%"
"19/01/2026","55,18","55,24","55,24","55,14","2,26K","0,02%"
"16/01/2026","55,17","55,21","55,21","55,21","","-0,13%"
"15/01/2026","55,24","55,19","55,19","55,19","","0,06%"
"14/01/2026","55,21","55,13","55,17","55,13","0,25K","0,12%"
"13/01/2026","55,14","55,10","55,14","55,10","4,41K","-0,03%"
"12/01/2026","55,16","55,08","55,16","55,02","2,02K","0,14%"
"09/01/2026","55,08","55,05","55,08","55,05","1,04K","0,03%"
"08/01/2026","55,06","55,07","55,07","55,06","1,46K","-0,06%"
"07/01/2026","55,10","55,05","55,10","55,05","0,41K","0,22%"
"06/01/2026","54,97","54,84","55,00","54,84","0,12K","0,13%"
"05/01/2026","54,90","54,64","54,90","54,64","2,10K","0,24%"
"02/01/2026","54,77","54,77","54,77","54,77","","-0,26%"
"31/12/2025","54,92","54,90","54,97","54,90","0,25K","0,01%"
"30/12/2025","54,91","54,93","54,93","54,93","","-0,12%"
"29/12/2025","54,97","54,90","54,97","54,90","2,03K","0,28%"
"24/12/2025","54,82","54,83","54,83","54,83","","-0,03%"
"23/12/2025","54,84","54,81","54,81","54,81","","0,21%"
"22/12/2025","54,72","54,70","54,73","54,70","3,56K","0,02%"
"19/12/2025","54,71","54,80","54,80","54,80","","-0,04%"
"18/12/2025","54,73","54,87","54,87","54,73","0,88K","0,15%"
"17/12/2025","54,65","54,90","54,90","54,65","0,08K","-0,35%"
"16/12/2025","54,84","54,90","54,90","54,84","1,04K","0,08%"
"15/12/2025","54,80","54,80","54,80","54,80","1,28K","0,07%"
"12/12/2025","54,76","54,78","54,80","54,76","3,70K","-0,26%"
"11/12/2025","54,90","54,74","54,90","54,74","0,15K","0,28%"
"10/12/2025","54,75","54,74","54,74","54,68","0,00K","-0,03%"
"09/12/2025","54,77","54,74","54,74","54,74","","-0,18%"
"08/12/2025","54,86","54,85","54,86","54,85","0,10K","-0,10%"
"05/12/2025","54,92","54,97","54,97","54,97","","-0,17%"
"04/12/2025","55,01","55,04","55,04","55,01","0,77K","-0,10%"
"03/12/2025","55,07","55,04","55,04","55,04","","0,31%"
"02/12/2025","54,90","55,10","55,10","54,90","0,19K","-0,22%"
"01/12/2025","55,02","55,10","55,10","55,06","0,31K","-0,34%"
"28/11/2025","55,21","55,17","55,21","55,15","1,75K","0,03%"
"27/11/2025","55,19","55,20","55,20","55,20","","-0,10%"
"26/11/2025","55,25","55,17","55,25","55,17","1,18K","0,32%"
"25/11/2025","55,07","55,06","55,07","55,06","0,33K","-0,29%"
"24/11/2025","55,23","55,10","55,23","55,10","0,28K","0,04%"
"21/11/2025","55,21","55,06","55,21","55,06","2,40K","0,36%"
"20/11/2025","55,01","55,06","55,06","55,01","5,38K","-0,32%"
"19/11/2025","55,19","55,12","55,19","55,12","0,25K","0,34%"
"18/11/2025","55,00","55,12","55,12","55,00","0,29K","-0,13%"
"17/11/2025","55,07","55,04","55,07","55,04","0,78K","0,05%"
"14/11/2025","55,04","55,08","55,08","55,04","0,45K","-0,38%"
"13/11/2025","55,26","55,24","55,26","55,24","0,76K","-0,05%"
"12/11/2025","55,28","55,17","55,28","55,17","4,46K","-0,12%"
"11/11/2025","55,35","55,17","55,35","55,17","0,69K","0,55%"
"10/11/2025","55,04","55,05","55,11","55,04","1,41K","-0,13%"
"07/11/2025","55,11","55,11","55,15","55,11","0,93K","-0,31%"
"06/11/2025","55,29","55,17","55,29","55,17","0,51K","0,25%"
"05/11/2025","55,15","55,22","55,22","55,15","0,71K","0,14%"
"04/11/2025","55,07","55,18","55,22","55,07","0,39K","-0,18%"
"03/11/2025","55,17","55,22","55,22","55,17","1,17K","-0,16%"
"31/10/2025","55,26","55,20","55,26","55,20","1,40K","0,00%"
"30/10/2025","55,26","55,22","55,26","55,22","2,90K","-0,05%"
"29/10/2025","55,29","55,28","55,30","55,28","0,01K","-0,16%"
"28/10/2025","55,38","55,15","55,38","55,15","0,88K","0,22%"
"27/10/2025","55,26","55,20","55,26","55,20","2,15K","0,13%"
"24/10/2025","55,19","55,33","55,33","55,19","1,06K","-0,30%"
"23/10/2025","55,36","55,50","55,50","55,36","0,66K","-0,08%"
"22/10/2025","55,40","55,46","55,46","55,40","0,56K","-0,01%"
"21/10/2025","55,41","55,39","55,41","55,32","1,21K","0,15%"
"20/10/2025","55,33","55,41","55,41","55,35","0,02K","0,02%"
"17/10/2025","55,31","55,46","55,46","55,28","1,04K","-0,09%"
"16/10/2025","55,37","55,31","55,31","55,31","","-0,25%"
"15/10/2025","55,51","55,26","55,51","55,26","0,59K","0,36%"
"14/10/2025","55,31","55,15","55,31","55,15","7,98K","0,43%"
"13/10/2025","55,07","55,18","55,18","55,18","0,03K","0,00%"
"10/10/2025","55,07","54,92","54,95","54,92","0,04K","0,36%"
"09/10/2025","54,88","54,95","54,95","54,95","","-0,12%"
"08/10/2025","54,94","54,88","54,88","54,88","","0,25%"
"07/10/2025","54,81","54,74","54,74","54,74","","-0,11%"
"06/10/2025","54,86","54,77","54,86","54,77","0,06K","-0,01%"
"03/10/2025","54,87","54,86","54,86","54,86","","0,03%"
"02/10/2025","54,85","54,83","54,83","54,83","","0,08%"
"01/10/2025","54,81","54,72","54,72","54,72","","-0,21%"
"30/09/2025","54,92","54,83","54,92","54,83","0,94K","-0,02%"
"29/09/2025","54,94","54,74","54,94","54,74","1,08K","0,45%"
"26/09/2025","54,69","54,59","54,59","54,59","","0,16%"
"25/09/2025","54,60","54,67","54,67","54,67","","-0,16%"
"24/09/2025","54,69","54,72","54,72","54,72","","0,27%"
"23/09/2025","54,54","54,73","54,73","54,54","0,45K","-0,28%"
"22/09/2025","54,69","54,67","54,67","54,65","0,14K","0,00%"
